spp_com,dbh,date_plant,neighborhood,POINT_X,POINT_Y
"Maple, Red",3,--,Charlestown,-71.06933,42.38327
Honeylocust,4,--,Fenway/Longwood,-71.10545,42.34705
Honeylocust,4,--,Charlestown,-71.06958,42.38311
Honeylocust,13,--,Central Boston,-71.05928,42.36391
Ginkgo,1,--,Charlestown,-71.06209,42.37843
Honeylocust,15,--,Charlestown,-71.06889,42.38144
"Pear, Callery",16,--,Charlestown,-71.06879,42.38094
"Linden, Silver",2,--,Dorchester,-71.06812,42.2953
"Maple, Red",11,--,East Boston,-71.00816,42.39096
"Oak, Pin",6,--,Roslindale,-71.14512,42.28583
"Maple, Amur",3,--,East Boston,-71.00942,42.39135
"Pine, Eastern White",8,--,Charlestown,-71.05035,42.37634
"Pear, Callery",13,--,Charlestown,-71.06919,42.38346
"Maple, Red",5,--,Charlestown,-71.06423,42.37966
Katsura Tree,19,--,East Boston,-71.00855,42.39106
Tree of Heaven,30,--,East Boston,-70.99728,42.39001
"Linden, Littleleaf",21,--,East Boston,-71.00266,42.39056
"Planetree, London",12,--,Charlestown,-71.06413,42.37976
"Linden, Littleleaf",18,--,Charlestown,-71.06062,42.37703
"Maple, Amur",2,--,Charlestown,-71.06897,42.38105
Scheduled Planting Site - Fall 2025,0,--,Charlestown,-71.06073,42.37707
Honeylocust,3,--,East Boston,-71.03108,42.36667
"Elm, Accolade",5,--,Dorchester,-71.08979,42.28871
"Elm, Accolade",5,--,Dorchester,-71.08977,42.28879
Apple/Crabapple,3,--,East Boston,-71.03136,42.36612
"Maple, Red",6,--,East Boston,-71.0071,42.39146
"Pear, Callery",19,--,East Boston,-71.03118,42.36672
Honeylocust,8,--,Charlestown,-71.06055,42.37701
"Oak, Pin",13,--,Dorchester,-71.08994,42.28886
"Hackberry, Northern",2,Fall 2024,East Boston,-71.03128,42.36608
"Oak, Sawtooth",4,--,East Boston,-71.03086,42.36657
"Cherry, Yoshino Flowering",3,--,East Boston,-71.03577,42.36697
"Basswood, American",15,--,East Boston,-71.0393,42.37974
Honeylocust,6,--,Charlestown,-71.06244,42.38018
"Oak, Pin",10,--,Charlestown,-71.06436,42.37995
"Basswood, American",19,--,East Boston,-71.0176,42.38562
"Ash, Green",7,--,East Boston,-71.01032,42.38557
"Maple, Red",2,--,Central Boston,-71.05592,42.36195
Honeylocust,6,--,East Boston,-71.04125,42.37165
"Maple, Red",3,--,Central Boston,-71.05568,42.36185
"Zelkova, Japanese",6,--,East Boston,-71.00932,42.39146
"Cherry, Okame",2,Spring 2022,East Boston,-71.00811,42.38928
"Linden, Littleleaf",16,--,East Boston,-71.00253,42.38776
"Linden, Littleleaf",8,--,East Boston,-71.02036,42.382
"Pagoda Tree, Japanese",5,--,Central Boston,-71.05878,42.36378
"Linden, Littleleaf",13,--,Charlestown,-71.06657,42.37734
"Oak, Swamp White",9,--,Charlestown,-71.06652,42.3772
"Elm, American",7,--,Charlestown,-71.06836,42.38188
"Oak, Swamp White",2,Spring 2023,Central Boston,-71.05867,42.36384
"Oak, Pin",12,--,Charlestown,-71.06606,42.37685
Honeylocust,11,--,Charlestown,-71.0602,42.37558
"Oak, Swamp White",11,--,Charlestown,-71.06627,42.37701
"Maple, Norway",6,--,Charlestown,-71.06464,42.37718
Honeylocust,12,--,Charlestown,-71.05209,42.37814
"Elm, American",5,--,Charlestown,-71.06199,42.37311
"Pagoda Tree, Japanese",3,--,Central Boston,-71.05888,42.3637
"Planetree, London",15,--,Charlestown,-71.06238,42.37353
"Oak, Sawtooth",2,--,Charlestown,-71.05068,42.37666
"Cherry, Okame",2,Spring 2024,Charlestown,-71.05877,42.37647
Apple/Crabapple,6,--,East Boston,-70.99989,42.39007
"Pear, Callery",8,--,Charlestown,-71.06963,42.38304
Apple/Crabapple,2,--,Charlestown,-71.06614,42.37823
"Oak, Pin",33,--,Fenway/Longwood,-71.10522,42.34713
Honeylocust,8,--,Charlestown,-71.06872,42.38176
"Pear, Callery",12,--,Charlestown,-71.06654,42.38097
Apple/Crabapple,2,--,East Boston,-71.03699,42.36762
"Ash, Green",14,--,East Boston,-71.03538,42.36786
"Maple, Norway",17,--,East Boston,-71.01049,42.39162
"Elm, Accolade",5,--,East Boston,-71.01007,42.39147
"Cherry, Yoshino Flowering",2,--,East Boston,-71.01042,42.39172
"Redbud, Eastern",6,--,East Boston,-71.01038,42.39157
"Linden, Littleleaf",15,--,Charlestown,-71.06576,42.38065
Honeylocust,19,--,East Boston,-71.03729,42.36679
"Serviceberry, Cumulus",2,Fall 2024,East Boston,-71.03717,42.3677
Honeylocust,2,--,Charlestown,-71.06876,42.38193
Honeylocust,11,--,East Boston,-71.03722,42.36676
"Maple, Norway 'Crimson King'",11,--,Dorchester,-71.05992,42.32202
Apple/Crabapple,3,--,East Boston,-71.0056,42.39255
Honeylocust,12,--,Charlestown,-71.05544,42.37483
"Oak, Sawtooth",4,--,Charlestown,-71.0663,42.38085
"Lilac, Japanese Tree",7,--,East Boston,-71.03333,42.36549
Goldenrain Tree,2,Fall 2024,East Boston,-71.03223,42.37601
"Linden, Littleleaf",25,--,East Boston,-71.00135,42.38557
Honeylocust,4,--,East Boston,-71.02155,42.38134
Apple/Crabapple,3,--,East Boston,-71.03426,42.37736
Ginkgo,2,--,East Boston,-71.0321,42.37592
"Cherry, Yoshino Flowering",6,--,East Boston,-71.01994,42.38471
Honeylocust,2,--,East Boston,-71.02316,42.38073
"Maple, Norway",18,--,East Boston,-71.00901,42.39154
"Pear, Callery",14,--,Charlestown,-71.06925,42.38355
Honeylocust,16,--,East Boston,-71.03736,42.36682
"Oak, Pin",13,--,Charlestown,-71.05333,42.37571
"Pear, Callery",12,--,Dorchester,-71.08282,42.30808
"Ash, Green",17,--,Dorchester,-71.08974,42.28888
"Redbud, Eastern",6,--,East Boston,-71.01064,42.39168
"Linden, Littleleaf",5,--,East Boston,-71.00134,42.39152
"Basswood, American",15,--,East Boston,-71.03471,42.36676
Apple/Crabapple,2,Fall 2022,East Boston,-71.00343,42.39234
"Lilac, Japanese Tree",3,--,East Boston,-70.9984,42.38999
"Ash, Green",14,--,East Boston,-71.03478,42.36679
"Maple, Red",9,--,East Boston,-71.00375,42.39245
"Pear, Callery",2,--,Hyde Park,-71.11378,42.26168
"Oak, Swamp White",3,--,Charlestown,-71.06965,42.38283
Honeylocust,12,--,Charlestown,-71.07044,42.38296
"Sweetgum, Common",10,--,East Boston,-71.03309,42.37867
"Maple, Norway",18,--,East Boston,-71.0024,42.39189
"Oak, Pin",11,--,Charlestown,-71.06445,42.37999
"Maple, Norway",15,--,East Boston,-71.0032,42.39225
"Sweetgum, Common",3,--,Charlestown,-71.06961,42.38291
"Oak, Northern Red",21,--,East Boston,-71.01939,42.38378
"Crabapple, Sugartyme",2,Fall 2024,East Boston,-71.00293,42.39214
